"SoilPoolID","OrganicMatterDecayRate","ReferenceTemp","Q10","MaxDecayRate_soft","MaxDecayRate_hard","PropToAtmosphere"
0,0.354999989271164,10,2.65000009536743,1,1,0.814999997615814
1,0.5,10,2,1,1,0.829999983310699
2,0.143500000238419,10,2,1,1,0.829999983310699
3,0.143500000238419,10,2,1,1,0.829999983310699
4,0.0373999997973442,10,2,1,1,0.829999983310699
5,0.0149999996647239,10,2.65000009536743,1,1,1
6,0.00329999998211861,10,1,1,1,1
7,0.0186999998986721,10,2,1,1,0.829999983310699
8,0.0717500001192093,10,2,1,1,0.829999983310699
9,0.0186999998986721,10,2,1,1,0.829999983310699
10,0.0717500001192093,10,2,1,1,0.829999983310699
11,0.00100000004749745,10,2,1,1,1
12,0,10,2,1,1,1
